id	density	depth	name
234	1	5	mie goreng
235	1	5	nasi campur
236	1	5	nasi padang
237	1	5	nasi uduk
238	1	5	babi guling
239	1	2	kaya toast
240	1	5	bak kut teh
241	1	5	curry puff
242	1	5	chow mein
243	1	5	zha jiang mian
244	1	5	kung pao chicken
245	1	5	crullers
246	1	3	eggplant with garlic sauce
247	1	5	three cup chicken
248	1	5	bean curd family style
249	1	3	salt & pepper fried shrimp with shell
250	0.885	3	baked salmon
251	1.4	4	braised pork meat ball with napa cabbage
252	1	5	winter melon soup
253	1.4	2	steamed spareribs
254	1	5	chinese pumpkin pie
255	1	5	eight treasure rice
256	1	5	hot & sour soup
